year,playerName,position,batting_order,school
2022,Crowell, Sam,C,6,UT Arlington
2022,Cavanagh, Matt,SS,7,UT Arlington
2022,Rice, Tanner,2B,8,UT Arlington
2022,Montgomery, Boone,3B,9,UT Arlington
2022,Wong, Michael,P,SP,UT Arlington
2022,Rowlett, Gray,1B,1,Northwestern St.
2022,Stuart, Daunte,2B,2,Northwestern St.
2022,Holmes, Bryce,3B,3,Northwestern St.
2022,Willis, Bo,C,4,Northwestern St.
2022,Horton, Cole,DH,5,Northwestern St.
2022,Fontenot, Larson,CF,6,Northwestern St.
2022,Colaianni, Gabe,RF,7,Northwestern St.
2022,Lipoma, Reese,LF,8,Northwestern St.
2022,Sibley, Cam,SS,9,Northwestern St.
2022,Harmon, Jonathan,P,SP,Northwestern St.
2022,Matthews, Brice,SS,1,Nebraska
2022,Jessen, Luke,LF,2,Nebraska
2022,Anderson, Max,DH,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Banjoff, Leighton,CF/LF,5,Nebraska
2022,Steil, Jack,1B,6,Nebraska
2022,Jackson, Core,2B,7,Nebraska
2022,Anglim, Garrett,RF,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Matthews, Brice,SS,1,Nebraska
2022,Jessen, Luke,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,DH/C,4,Nebraska
2022,Banjoff, Leighton,CF/LF,5,Nebraska
2022,Steil, Jack,1B,6,Nebraska
2022,Anglim, Garrett,RF,7,Nebraska
2022,Caron, Josh,C,8,Nebraska
2022,Cervantes, Efry,2B,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
2022,VanVooren, David,CF,1,UT Arlington
2022,Henry, Zach,LF,2,UT Arlington
2022,Saunders, Steven,DH,3,UT Arlington
2022,Ponce, Oscar,1B,4,UT Arlington
2022,Lumsden, Matthew,RF,5,UT Arlington
2022,Cavanagh, Matt,SS,6,UT Arlington
2022,Rice, Tyler,2B,7,UT Arlington
2022,Sumbler, Cade,C,8,UT Arlington
2022,Montgomery, Boone,3B,9,UT Arlington
2022,Moffat, David,P,SP,UT Arlington
2022,Jessen, Luke,DH,1,Nebraska
